account_id,account_name,region,opened_date,risk_band
ACC0001,Dhillon & Sons 1,South East,30/03/2023,A
ACC0002,Bolt & Screw Ltd 2,Scotland,05/12/2024,B
ACC0003,"Marlow ""Fine"" Foods 3",London,11/08/2022,B
ACC0004,Corner Cafe 4,London,09/01/2023,C
ACC0005,Bolt & Screw Ltd 5,South East,12/12/2024,C
ACC0006,Corner Cafe 6,Scotland,05/10/2024,B
ACC0007,Petra Logistics 7,Scotland,09/02/2025,C
ACC0008,Corner Cafe 8,South East,12/03/2025,B
ACC0009,Northline Freight 9,North West,24/08/2024,A
ACC0010,"Marlow ""Fine"" Foods 10",Midlands,25/04/2022,B
ACC0011,Bolt & Screw Ltd 11,Scotland,03/04/2022,B
ACC0012,Dhillon & Sons 12,London,21/05/2022,A
ACC0013,"Marlow ""Fine"" Foods 13",London,26/12/2021,B
ACC0014,Kite Digital 14,Scotland,22/01/2023,B
ACC0015,Kite Digital 15,Scotland,30/11/2022,B
ACC0016,Northline Freight 16,South East,01/01/2021,B
ACC0017,Ashvale Clinic 17,South East,30/12/2024,B
ACC0018,Sandbrook Utilities 18,North West,19/07/2020,B
ACC0019,Ashvale Clinic 19,North West,04/11/2023,A
ACC0020,Bolt & Screw Ltd 20,Scotland,10/02/2023,B
ACC0021,Dhillon & Sons 21,South East,18/09/2022,C
ACC0022,Corner Cafe 22,London,03/03/2021,B
ACC0023,Dhillon & Sons 23,Midlands,14/02/2022,C
ACC0024,"Marlow ""Fine"" Foods 24",North West,26/01/2025,A
ACC0025,Northline Freight 25,North West,19/07/2021,A
ACC0026,Corner Cafe 26,Midlands,29/10/2021,C
ACC0027,Northline Freight 27,North West,15/09/2021,B
ACC0028,Corner Cafe 28,North West,19/06/2023,B
ACC0029,"Marlow ""Fine"" Foods 29",London,08/09/2022,A
ACC0030,"Wembley Tyres, Ltd 30",Midlands,24/09/2024,B
ACC0031,The Old Print Works 31,North West,27/07/2020,C
ACC0032,Bolt & Screw Ltd 32,South East,09/12/2022,C
ACC0033,Sandbrook Utilities 33,Midlands,08/09/2024,C
ACC0034,Sandbrook Utilities 34,Midlands,30/06/2021,C
ACC0035,Dhillon & Sons 35,North West,29/02/2024,B
ACC0036,Bolt & Screw Ltd 36,South East,10/08/2024,B
ACC0037,Petra Logistics 37,South East,22/05/2025,C
ACC0038,"Marlow ""Fine"" Foods 38",South East,25/12/2023,B
ACC0039,Corner Cafe 39,South East,08/02/2023,B
ACC0040,"Marlow ""Fine"" Foods 40",Scotland,02/09/2023,B
