txn_id,posted_date,account_id,merchant_name,gross_amount,currency,channel,status
A000001,03/02/2026,ACC0098,"Wembley Tyres, Ltd",32.77,EUR,direct_debit,failed
A000002,28/03/2026,ACC0003,Northline Freight,21.52,GBP,card,settled
A000003,06/03/2026,ACC0061,"Wembley Tyres, Ltd",61.49,USD,card,reversed
A000004,25/03/2026,ACC0107,The Old Print Works,42.38,GBP,card,reversed
A000005,28/01/2026,ACC0107,Ashvale Clinic,218.13,GBP,card,pending
A000006,14/02/2026,ACC0008,Bolt & Screw Ltd,192.33,GBP,direct_debit,failed
A000007,27/03/2026,ACC0024,Harrow Sports Club,79.91,EUR,direct_debit,settled
A000008,03/02/2026,ACC0071,Dhillon & Sons,37.26,gbp,card,settled
A000009,28/01/2026,ACC0065,Petra Logistics,35.69,gbp,card,failed
A000010,01/01/2026,ACC0051,Corner Cafe,10.74,EUR,card,reversed
A000011,30/01/2026,ACC0115,Ashvale Clinic,120.2,GBP,direct_debit,settled
A000012,05/03/2026,ACC0083,Harrow Sports Club,4.96,GBP,bank_transfer,reversed
A000013,24/02/2026,ACC0018,Sandbrook Utilities,572.53,GBP,bank_transfer,settled
A000014,29/03/2026,ACC0088,Ashvale Clinic,239.89,GBP,card,settled
A000015,04/01/2026,ACC0058,Sandbrook Utilities,219.43,GBP,card,reversed
A000016,10/03/2026,ACC0001,Kite Digital,106.44,GBP,bank_transfer,failed
A000017,12/01/2026,ACC0095,Kite Digital,75.33,EUR,card,settled
A000018,31/01/2026,ACC0095,Petra Logistics,94.12,USD,direct_debit,pending
A000019,10/01/2026,ACC0099,Corner Cafe,48.17,GBP,card,settled
A000020,18/03/2026,ACC0096,Ashvale Clinic,22.38,EUR,bank_transfer,failed
A000021,18/01/2026,ACC0089,"Wembley Tyres, Ltd",14.44,GBP,direct_debit,settled
A000022,08/03/2026,ACC0099,Bolt & Screw Ltd,25.59,GBP,card,settled
A000023,11/01/2026,ACC0058,Northline Freight,35.52,USD,card,settled
A000024,10/01/2026,ACC0068,Northline Freight,65.31,EUR,card,failed
A000025,22/03/2026,ACC0091,Dhillon & Sons,63.17,gbp,direct_debit,pending
A000026,20/02/2026,ACC0039,Ashvale Clinic,53.06,gbp,direct_debit,settled
A000027,18/02/2026,ACC0001,Dhillon & Sons,6.22,EUR,direct_debit,settled
A000028,26/01/2026,ACC0578,The Old Print Works,29.03,GBP,card,settled
A000029,24/02/2026,ACC0085,Northline Freight,35.29,GBP,card,settled
A000030,04/02/2026,ACC0099,Dhillon & Sons,45.8,USD,card,reversed
A000031,21/02/2026,ACC0007,Ashvale Clinic,76.04,USD,direct_debit,failed
A000032,18/01/2026,ACC0007,Sandbrook Utilities,80.0,gbp,card,pending
A000033,23/02/2026,ACC0095,Ashvale Clinic,35.87,GBP,card,pending
A000034,25/03/2026,ACC0086,The Old Print Works,21.03,GBP,card,reversed
A000035,21/01/2026,ACC0104,Kite Digital,10.96,GBP,card,pending
A000036,12/02/2026,ACC0012,Harrow Sports Club,23.52,EUR,bank_transfer,settled
A000037,10/02/2026,ACC0073,"Wembley Tyres, Ltd",28.11,GBP,direct_debit,pending
A000038,22/02/2026,ACC0035,Dhillon & Sons,98.22,GBP,direct_debit,settled
A000039,15/03/2026,ACC0111,"Wembley Tyres, Ltd",55.55,GBP,card,settled
A000040,19/02/2026,ACC0595,Corner Cafe,38.81,gbp,card,pending
