TransactionReference,ValueDate,CustomerAccount,Counterparty,AmountMinorUnits,CurrencyCode,TransactionType,SettlementStatus
B000001,2026-01-14,ACC0045,Harrow Sports Club,7001,GBP,CREDIT,SETTLED
B000002,2026-03-15,ACC0096,Corner Cafe,11053,GBP,DEBIT,RETURNED
B000003,2026-02-16,ACC0039,Kite Digital,27617,GBP,CREDIT,UNSETTLED
B000004,2026-02-17,ACC0110,"Marlow ""Fine"" Foods",3081,GBP,DEBIT,UNSETTLED
B000005,2026-02-22,ACC0083,"Wembley Tyres, Ltd",3563,GBP,DEBIT,SETTLED
B000006,2026-02-19,ACC0119,Ashvale Clinic,,GBP,DEBIT,RETURNED
B000007,2026-03-29,ACC0001,"Marlow ""Fine"" Foods",5594,GBP,DEBIT,SETTLED
B000008,2026-01-09,ACC0034,"Marlow ""Fine"" Foods",26088,GBP,DEBIT,UNSETTLED
B000009,2026-03-12,ACC0017,Bolt & Screw Ltd,7764,GBP,DEBIT,UNSETTLED
B000010,2026-03-05,ACC0083,The Old Print Works,18258,GBP,CREDIT,UNSETTLED
B000011,2026-01-13,ACC0019,"Marlow ""Fine"" Foods",22671,GBP,DEBIT,RETURNED
B000012,2026-02-23,ACC0100,Bolt & Screw Ltd,49572,GBP,CREDIT,SETTLED
B000013,2026-03-25,ACC0079,The Old Print Works,2899,GBP,DEBIT,SETTLED
B000014,2026-03-29,ACC0091,Ashvale Clinic,2293,GBP,CREDIT,SETTLED
B000015,2026-03-02,ACC0079,Ashvale Clinic,15741,GBP,DEBIT,UNSETTLED
B000016,2026-03-13,ACC0093,Sandbrook Utilities,16737,GBP,CREDIT,SETTLED
B000017,2026-03-01,ACC0091,Northline Freight,12044,GBP,CREDIT,UNSETTLED
B000018,2026-02-10,ACC0107,Corner Cafe,1110,GBP,DEBIT,SETTLED
B000019,2026-01-19,ACC0001,Petra Logistics,9725,GBP,DEBIT,SETTLED
B000020,2026-02-18,ACC0074,"Wembley Tyres, Ltd",16006,GBP,DEBIT,UNSETTLED
B000021,2026-02-27,ACC0066,Corner Cafe,8933,GBP,DEBIT,SETTLED
B000022,2026-02-13,ACC0079,"Wembley Tyres, Ltd",16547,GBP,DEBIT,SETTLED
B000023,2026-02-24,ACC0073,Northline Freight,20968,GBP,DEBIT,SETTLED
B000024,2026-02-13,ACC0057,The Old Print Works,2830,GBP,DEBIT,SETTLED
B000025,2026-01-27,ACC0110,The Old Print Works,809,GBP,DEBIT,SETTLED
B000026,2026-03-12,ACC0071,Sandbrook Utilities,2135,GBP,DEBIT,SETTLED
B000027,2026-03-05,ACC0088,Corner Cafe,7378,GBP,CREDIT,RETURNED
B000028,2026-02-19,ACC0009,Harrow Sports Club,40237,GBP,DEBIT,RETURNED
B000029,2026-03-20,ACC0011,Ashvale Clinic,12770,GBP,DEBIT,UNSETTLED
B000030,2026-03-13,ACC0020,Ashvale Clinic,9202,GBP,CREDIT,SETTLED
B000031,2026-01-29,ACC0042,"Marlow ""Fine"" Foods",2461,GBP,DEBIT,SETTLED
B000032,2026-03-29,ACC0106,Harrow Sports Club,8588,GBP,DEBIT,UNSETTLED
B000033,2026-02-13,ACC0071,Bolt & Screw Ltd,1082,GBP,DEBIT,RETURNED
B000034,2026-03-21,ACC0033,Harrow Sports Club,9164,GBP,DEBIT,RETURNED
B000035,2026-03-21,ACC0076,Northline Freight,14850,GBP,DEBIT,SETTLED
B000036,2026-02-04,ACC0001,Dhillon & Sons,34162,GBP,DEBIT,SETTLED
B000037,2026-01-30,ACC0086,Northline Freight,3929,GBP,DEBIT,SETTLED
B000038,2026-01-27,ACC0050,Sandbrook Utilities,5450,GBP,DEBIT,SETTLED
B000039,2026-02-21,ACC0072,Northline Freight,2470,GBP,DEBIT,RETURNED
B000040,2026-01-17,ACC0064,Petra Logistics,7174,GBP,DEBIT,RETURNED
B000041,2026-03-01,ACC0024,The Old Print Works,1720,GBP,DEBIT,SETTLED
B000042,2026-03-29,ACC0069,Northline Freight,3460,GBP,CREDIT,SETTLED
